Component,Ideal,Real,SKU
U1,OP462,OP462,OP462GSZ-ND

Ca1,10n,10n,PCF1196CT-ND
Ca2,10n,10n,PCF1196CT-ND
Ra1,14.3k,14.3k,P14.3KCCT-ND
Ra2,15.51k,15.4k,P15.4KDACT-ND
Ra3,44.97k,45.3k,P45.3KCCT-ND

Cb1,10n,10n,PCF1196CT-ND
Cb2,10n,10n,PCF1196CT-ND
Rb1,5.52k,5.49k,P5.49KCCT-ND
Rb2,5.99k,6.04k,P6.04KCCT-ND
Rb3,17.37k,17.4k,P17.4KCCT-ND

Cc1,10n,10n,PCF1196CT-ND
Cc2,10n,10n,PCF1196CT-ND
Rc1,13.29k,13.3k,P13.3KCCT-ND
Rc2,5.19k,5.23k,P5.23KCCT-ND
Rc3,232.04k,232k,P232KCCT-ND

Cd1,10n,10n,PCF1196CT-ND
Cd2,10n,10n,PCF1196CT-ND
Rd1,1.99k,2k,P2.0KACT-ND
Rd2,733.1,732,P732CCT-ND
Rd3,34.79k,34.8k,P34.8KCCT-ND

C1,100n,100n,311-1142-1-ND
C2,100n,100n,311-1142-1-ND
C3,22u,22u,399-5211-1-ND
C4,22u,22u,399-5211-1-ND

