"8","160-1828-1-ND"
"3","445-2664-1-ND"
"4","445-3927-1-ND"
"2","450-1758-1-ND"
"1","478-2953-1-ND"
"3","490-1037-1-ND"
"2","490-1413-1-ND"
"33","490-1532-1-ND"
"1","490-1536-1-ND"
"1","490-3296-1-ND"
"3","490-5307-1-ND"
"2","490-7199-1-ND"
"1","490-7205-1-ND"
"27","511-1683-1-ND"
"2","513-1063-1-ND"
"1","513-1625-1-ND"
"1","516-2221-1-ND"
"1","535-9840-1-ND"
"1","568-1619-1-ND"
"2","A102234CT-ND"
"3","A97555-ND"
"1","AD5752RBREZ-ND"
"1","AD7680ARJZ-REEL7CT-ND"
"1","AD8428ARZ-ND"
"1","AD8597ARZ-ND"
"1","ADA4841-1YRJZ-R7CT-ND"
"2","ADG714BRUZ-REEL7CT-ND"
"1","ADR4520BRZ-ND"
"1","ATMEGA32U4-AU-ND"
"4","BAS40-04-V-GS08CT-ND"
"1","CRT0603-BY-10R0ELFCT-ND"
"1","FAN3111ESXCT-ND"
"1","FDN327NCT-ND"
"1","H2959CT-ND"
"1","IRLR024NPBFCT-ND"
"1","LT1206CS8#PBF-ND"
"1","LT1210CR#PBF-ND"
"1","LT1761ES5-5#TRMPBFCT-ND"
"1","LT1761ES5-SD#TRMPBFCT-ND"
"1","LT1764AEQ#TRPBFCT-ND"
"1","LT1964ES5-5#TRMPBFCT-ND"
"1","LT1964ES5-SD#TRMPBFCT-ND"
"1","LT3015EQ#PBF-ND"
"1","LT3439EFE#PBF-ND"
"1","LTC2909CTS8-5#TRMPBFCT-ND"
"1","OP462HRUZ-REELCT-ND"
"2","P0.0GCT-ND"
"1","P100KDBCT-ND"
"5","P1.00KHCT-ND"
"11","P10.0KHCT-ND"
"4","P100KHCT-ND"
"2","P1.00MHCT-ND"
"2","P1.05KHCT-ND"
"2","P1.0KDBCT-ND"
"2","P10KDBCT-ND"
"1","P13.3KHCT-ND"
"1","P1.3MGCT-ND"
"1","P14.3KHCT-ND"
"1","P15.4KHCT-ND"
"1","P1.5MGCT-ND"
"2","P16641CT-ND"
"2","P16.9KDBCT-ND"
"1","P17.4KHCT-ND"
"1","P2.00KHCT-ND"
"2","P22.0HCT-ND"
"1","P232KHCT-ND"
"2","P3.16KHCT-ND"
"5","P330HCT-ND"
"1","P33.2HCT-ND"
"1","P34.8KHCT-ND"
"1","P45.3KHCT-ND"
"3","P49.9DBCT-ND"
"1","P5.23KHCT-ND"
"1","P5.49KHCT-ND"
"8","P604HCT-ND"
"1","P6.04KHCT-ND"
"2","P715DBCT-ND"
"1","P732HCT-ND"
"3","PCF1126CT-ND"
"1","PCF1128CT-ND"
"1","PCF1129CT-ND"
"1","PCF1131CT-ND"
"1","PCF1171CT-ND"
"1","PCF1175CT-ND"
"11","PCF1177CT-ND"
"1","PCF1179CT-ND"
"1","PCF1183CT-ND"
"1","PCF1187CT-ND"
"1","PCF1189CT-ND"
"1","PCF1445CT-ND"
"1","PCF1451CT-ND"
"1","PCF1452CT-ND"
"1","PCF1455CT-ND"
"1","PCF1461CT-ND"
"1","PCF1465CT-ND"
"1","S5GC-FDICT-ND"
"3","SD101AWSTPMSCT-ND"
"1","SMDJ45ACT-ND"
"1","TRAPC3MX-ND"
"1","Z123-ND"
